ranking,source,target,value,ichioshi,comment
345,茨木華扇,華扇の動物（久米、竿打、雷獣、彭祖、人面犬他）,15,2,2,※
345,万歳楽,河童（山童含む）,15,2,5,※
359,博麗霊夢,西行寺幽々子,14,1,1,※
359,博麗霊夢,物部布都,14,1,4,※
359,ルーミア,小悪魔,14,2,4,※
359,チルノ,ミスティア・ローレライ,14,1,2,※
359,小悪魔,アリスの人形（上海、蓬莱、大江戸他）,14,2,3,※
359,フランドール・スカーレット,魂魄妖夢,14,6,2,※
359,アリス・マーガトロイド,夢子,14,0,2,※
359,八雲紫,宇佐見蓮子,14,0,5,※
359,八意永琳,純狐,14,3,4,※
359,射命丸文,霊烏路空,14,3,4,※
359,メディスン・メランコリー,多々良小傘,14,3,4,※
359,河城にとり,洩矢諏訪子,14,2,2,※
359,犬走椛,幽谷響子,14,2,2,※
359,比那名居天子,綿月依姫,14,4,6,※
359,鬼人正邪,堀川雷鼓,14,3,1,※
359,サリエル,神綺,14,2,2,※
359,森近霖之助,魂魄妖忌,14,0,3,※
376,博麗霊夢,鈴仙・優曇華院・イナバ,13,1,3,※
376,霧雨魔理沙,星熊勇儀,13,3,5,※
376,大妖精,フランドール・スカーレット,13,2,2,※
376,大妖精,レティ・ホワイトロック,13,3,3,※
376,チルノ,河城にとり,13,0,2,※
376,チルノ,比那名居天子,13,2,2,※
376,レティ・ホワイトロック,秋静葉,13,2,5,※
376,アリス・マーガトロイド,射命丸文,13,3,3,※
376,アリス・マーガトロイド,古明地さとり,13,3,1,※
376,アリス・マーガトロイド,ナズーリン,13,2,4,※
376,八雲藍,寅丸星,13,4,4,※
376,八雲藍,純狐,13,0,4,※
376,上白沢慧音,今泉影狼,13,3,5,※
376,射命丸文,森近霖之助,13,3,2,※
376,四季映姫・ヤマザナドゥ,稗田阿求,13,1,4,※
376,東風谷早苗,姫海棠はたて,13,1,3,※
376,物部布都,都市伝説の怪異（お菊さん、八尺さま他）,13,2,4,※
376,九十九八橋,堀川雷鼓,13,2,1,※
376,サラ,ルイズ,13,2,5,※
376,森近霖之助,茨木華扇,13,4,1,※
376,るーこと,ミミちゃん,13,0,3,※
397,博麗霊夢,古明地こいし,12,2,3,※
397,博麗霊夢,サニーミルク,12,3,4,※
397,霧雨魔理沙,紅美鈴,12,1,3,※
397,霧雨魔理沙,リリカ・プリズムリバー,12,1,6,※
397,霧雨魔理沙,古明地さとり,12,1,1,※
397,ルーミア,アリス・マーガトロイド,12,0,1,※
397,ルーミア,風見幽香,12,5,2,※
397,チルノ,リグル・ナイトバグ,12,2,2,※
397,十六夜咲夜,鈴仙・優曇華院・イナバ,12,2,2,※
397,レミリア・スカーレット,綿月依姫,12,2,1,※
397,フランドール・スカーレット,橙,12,0,2,※
397,アリス・マーガトロイド,魂魄妖夢,12,2,1,※
397,河城にとり,古明地さとり,12,3,3,※
397,比那名居天子,封獣ぬえ,12,4,1,※
397,水橋パルスィ,鬼人正邪,12,3,4,※
397,古明地さとり,鬼人正邪,12,3,2,※
397,古明地こいし,ドレミー・スイート,12,3,7,※
397,ナズーリン,聖白蓮,12,2,1,※
397,聖白蓮,幽谷響子,12,2,2,※
397,封獣ぬえ,UFO（赤・青・緑、その他）,12,1,0,※
397,二ッ岩マミゾウ,ウワバミ,12,0,3,※
397,朝倉理香子,岡崎夢美,12,2,3,※
397,ルイズ,夢子,12,1,4,※
420,博麗霊夢,パチュリー・ノーレッジ,11,3,0,※
420,大妖精,風見幽香,11,3,2,※
420,十六夜咲夜,射命丸文,11,1,1,※
420,十六夜咲夜,犬走椛,11,1,1,※
420,アリス・マーガトロイド,ミスティア・ローレライ,11,2,3,※
420,アリス・マーガトロイド,鍵山雛,11,2,0,※
420,藤原妹紅,射命丸文,11,2,3,※
420,藤原妹紅,稗田阿求,11,2,2,※
420,伊吹萃香,酒虫,11,1,5,※
420,射命丸文,四季映姫・ヤマザナドゥ,11,3,4,※
420,風見幽香,森近霖之助,11,1,1,※
420,四季映姫・ヤマザナドゥ,茨木華扇,11,2,1,※
420,河城にとり,村紗水蜜,11,3,3,※
420,多々良小傘,聖白蓮,11,2,2,※
420,宇佐見菫子,岡崎夢美,11,1,2,※
420,ドレミー・スイート,ヘカーティア・ラピスラズリ,11,0,3,※
420,稀神サグメ,純狐,11,1,2,※
420,宇佐見蓮子,森近霖之助,11,0,1,※
